6.622135e+06	0.000000e+00
6.619416e+06	2.080235e+05
6.611261e+06	4.159453e+05
6.597669e+06	6.236633e+05
6.578640e+06	8.310755e+05
6.554173e+06	1.038079e+06
6.524270e+06	1.244571e+06
6.488929e+06	1.450448e+06
6.448152e+06	1.655604e+06
6.401937e+06	1.859935e+06
6.350285e+06	2.063333e+06
6.293198e+06	2.265691e+06
6.230676e+06	2.466899e+06
6.162721e+06	2.666848e+06
6.089335e+06	2.865423e+06
6.010520e+06	3.062513e+06
5.926280e+06	3.258000e+06
5.836619e+06	3.451767e+06
5.741543e+06	3.643694e+06
5.641058e+06	3.833659e+06
5.535172e+06	4.021538e+06
5.423895e+06	4.207204e+06
5.307236e+06	4.390528e+06
5.185210e+06	4.571377e+06
5.057830e+06	4.749619e+06
4.925115e+06	4.925115e+06
4.787083e+06	5.097725e+06
4.643756e+06	5.267307e+06
4.495161e+06	5.433716e+06
4.341324e+06	5.596802e+06
4.182279e+06	5.756413e+06
4.018060e+06	5.912396e+06
3.848707e+06	6.064592e+06
3.674264e+06	6.212841e+06
3.494779e+06	6.356980e+06
3.310306e+06	6.496841e+06
3.120903e+06	6.632256e+06
2.926634e+06	6.763053e+06
2.727570e+06	6.889056e+06
2.523787e+06	7.010088e+06
2.315368e+06	7.125970e+06
2.102403e+06	7.236520e+06
1.884991e+06	7.341554e+06
1.663235e+06	7.440885e+06
1.437250e+06	7.534328e+06
1.207158e+06	7.621693e+06
9.730887e+05	7.702790e+06
7.351837e+05	7.777431e+06
4.935922e+05	7.845424e+06
2.484743e+05	7.906579e+06
1.428866e-02	7.960708e+06
-2.516497e+05	8.007623e+06
-5.062829e+05	8.047136e+06
-7.636964e+05	8.079064e+06
-1.023676e+06	8.103226e+06
-1.285994e+06	8.119444e+06
-1.550412e+06	8.127546e+06
-1.816681e+06	8.127362e+06
-2.084536e+06	8.118731e+06
-2.353702e+06	8.101496e+06
-2.623892e+06	8.075508e+06
-2.894805e+06	8.040629e+06
-3.166128e+06	7.996726e+06
-3.437537e+06	7.943680e+06
-3.708695e+06	7.881379e+06
-3.979254e+06	7.809726e+06
